epoch,train_loss,test_loss
1,0.3410596239566803,0.30282649674763285
2,0.232359181009233,0.1439648645107324
3,0.10586404602974653,0.0692109673943681
4,0.06861672696657478,0.054692397604230794
5,0.05495380898627142,0.04675093278366452
6,0.04872909869688253,0.05172256995923817
7,0.0441011515725404,0.04546480584268769
8,0.04084383379978438,0.03887716657249257
9,0.03810797413655867,0.04447627545023958
10,0.035800988905442255,0.03661889098080186
11,0.03337459998205304,0.03134068592800759
12,0.03187637445672105,0.026290252012743924
13,0.03024522031657398,0.02768220972424994
14,0.02911242182056109,0.026584539219814664
15,0.028151493179611863,0.02883789435067835
16,0.027098977627853554,0.028005343509139493
17,0.02629678190841029,0.02602461911776724
18,0.02546958517593642,0.023120926362850392
19,0.02459765210902939,0.03180593860995335
20,0.02380255622944484,0.02132894359024552
21,0.023160498283493022,0.02118639326887205
22,0.02224254207064708,0.02028823792701587
23,0.021508506389024358,0.021467211763374506
24,0.021105558082150918,0.01906473148711181
25,0.020029826395524045,0.021710272897810984
26,0.01940326692769304,0.017583894024331432
27,0.01866138378313432,0.02132111229429332
28,0.018329633642764142,0.017462886512706367
29,0.01742634242400527,0.015840855368684667
30,0.01688712453469634,0.019324642763628313
31,0.016506035767185193,0.020504447610971206
32,0.016002974149305373,0.014508132579891631
33,0.015544600322997818,0.014368635688636762
34,0.01516067358587558,0.01580282584744661
35,0.014933272891988357,0.013837447405482333
36,0.014570336974381159,0.013225011058190527
37,0.014229516078873227,0.013737750798657846
38,0.014288742265198379,0.013441157350704695
39,0.013823632074830432,0.012963233200910812
40,0.013732559685595334,0.012576151986528809
41,0.013332352775614708,0.01298032782622613
42,0.01312008084418873,0.013501448304547617
43,0.01309945669102793,0.012192575226848324
44,0.01295440385894229,0.01381889619709303
45,0.012658087863431623,0.01338658017028744
46,0.012729183121118695,0.011631045077034894
47,0.012520993459038437,0.01174392448059128
48,0.012500006734238317,0.011406733473413623
49,0.012331197960302234,0.012815287894336507
50,0.012115873547736555,0.01458347069429389
51,0.012205201433195423,0.01123291530937422
52,0.012144121439972271,0.011037794663958872
53,0.011842410174043229,0.010927817009117765
54,0.011777183842690041,0.010931950403416218
55,0.011790873572075119,0.013125626518352267
56,0.011526474667868266,0.010781389293260873
57,0.011420405469834805,0.010592187567575214
58,0.011480465040852626,0.010896118287928403
59,0.01111913435238724,0.010456553474456693
60,0.011227211095392703,0.011859675353819816
61,0.011093459396312634,0.010735621620357657
