epoch,train_loss,test_loss,learning_rate,validation_loss
1,0.28463525005749296,,0.00021990548087642936,0.014878546819090843
2,0.253597868340356,,0.00021990548087642936,0.016151772812008858
3,0.2084373278277261,,0.00021990548087642936,0.0201998483389616
4,0.1976163876908166,,0.00021990548087642936,0.025081911124289036
5,0.17562452810151236,,0.00021990548087642936,0.03073145914822817
6,0.16068395440067565,,0.00021990548087642936,0.03625924326479435
7,0.1635648203747613,,0.00021990548087642936,0.039923349395394325
8,0.14004750975540706,,0.00021990548087642936,0.04162744991481304
9,0.13072670251131058,,0.00021990548087642936,0.040293190628290176
10,0.1248235244836126,,0.00021990548087642936,0.035965440794825554
11,0.1145617493561336,,0.00021990548087642936,0.030054571107029915
12,0.11163399581398283,,0.00021990548087642936,0.02313705999404192
13,0.10592188686132431,,0.00021990548087642936,0.016878641210496426
14,0.0981081213269915,,0.00021990548087642936,0.012603133916854858
15,0.09577120946986335,,0.00021990548087642936,0.009648448787629604
16,0.08607735591275352,,0.00021990548087642936,0.008367183152586222
17,0.088155526135649,,0.00021990548087642936,0.007621098775416613
18,0.08085173900638308,,0.00021990548087642936,0.007148254429921508
19,0.08079540942396436,,0.00021990548087642936,0.0066221419256180525
20,0.07335752248764038,,0.00021990548087642936,0.006165775004774332
21,0.07002537484679904,,0.00021990548087642936,0.005859754979610443
22,0.06857996114662715,,0.00021990548087642936,0.0055519770830869675
23,0.06304568690913064,,0.00021990548087642936,0.005337679060176015
24,0.0639294024024691,,0.00021990548087642936,0.0050510859582573175
25,0.06217254538621221,,0.00021990548087642936,0.0048865939024835825
26,0.05921478516289166,,0.00021990548087642936,0.0047887510154396296
27,0.05301439496023314,,0.00021990548087642936,0.004521209513768554
28,0.050167719168322425,,0.00021990548087642936,0.004346247063949704
29,0.04735450553042548,,0.00021990548087642936,0.004195142537355423
30,0.04660850231136594,,0.00021990548087642936,0.004183805780485272
31,0.04578127871666636,,0.00021990548087642936,0.003999456996098161
32,0.04370756606970515,,0.00021990548087642936,0.003944074618630111
33,0.04105504282883236,,0.00021990548087642936,0.0038904856191948056
34,0.03930741335664477,,0.00021990548087642936,0.0037726983428001404
35,0.038427362484591346,,0.00021990548087642936,0.00379014085046947
36,0.03655202527131353,,0.00021990548087642936,0.0036338192876428366
37,0.03396393385316644,,0.00021990548087642936,0.003516280557960272
38,0.03232649394444057,,0.00021990548087642936,0.0034054595744237304
39,0.03050525566296918,,0.00021990548087642936,0.003376223612576723
40,0.03146142991525786,,0.00021990548087642936,0.0032736886059865355
41,0.029031367706401006,,0.00021990548087642936,0.003226275206543505
42,0.027531694886939868,,0.00021990548087642936,0.0031943470239639282
